symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
AVGO,5Min,2023-05-15 13:30:00+00:00,631.88,633.14,630.94,630.94,1943,44,632.037547,alpaca,iex,raw,2026-05-13 13:17:40.813463+00:00
AVGO,5Min,2023-05-15 13:35:00+00:00,630.74,630.74,629.56,629.585,684,19,629.961667,alpaca,iex,raw,2026-05-13 13:17:40.813480+00:00
AVGO,5Min,2023-05-15 13:40:00+00:00,628.98,631.235,628.98,631.235,573,9,630.062692,alpaca,iex,raw,2026-05-13 13:17:40.813487+00:00
AVGO,5Min,2023-05-15 13:45:00+00:00,631.49,631.49,630.28,630.28,1065,19,630.631429,alpaca,iex,raw,2026-05-13 13:17:40.813494+00:00
AVGO,5Min,2023-05-15 13:50:00+00:00,630.28,630.32,630.28,630.32,283,8,630.3,alpaca,iex,raw,2026-05-13 13:17:40.813501+00:00
AVGO,5Min,2023-05-15 13:55:00+00:00,630.09,630.09,630.08,630.08,572,13,630.085,alpaca,iex,raw,2026-05-13 13:17:40.813508+00:00
AVGO,5Min,2023-05-15 14:00:00+00:00,630.47,630.47,630.47,630.47,205,5,630.47,alpaca,iex,raw,2026-05-13 13:17:40.813515+00:00
AVGO,5Min,2023-05-15 14:05:00+00:00,630.57,630.6,630.57,630.6,250,3,630.585,alpaca,iex,raw,2026-05-13 13:17:40.813522+00:00
AVGO,5Min,2023-05-15 14:10:00+00:00,630.0,630.09,629.86,630.09,496,11,629.99,alpaca,iex,raw,2026-05-13 13:17:40.813528+00:00
AVGO,5Min,2023-05-15 14:15:00+00:00,629.31,629.31,629.31,629.31,206,3,629.31,alpaca,iex,raw,2026-05-13 13:17:40.813535+00:00
AVGO,5Min,2023-05-15 14:25:00+00:00,629.4,629.4,629.24,629.24,300,4,629.32,alpaca,iex,raw,2026-05-13 13:17:40.813541+00:00
AVGO,5Min,2023-05-15 14:35:00+00:00,629.37,629.37,629.37,629.37,151,3,629.37,alpaca,iex,raw,2026-05-13 13:17:40.813548+00:00
AVGO,5Min,2023-05-15 14:40:00+00:00,629.41,629.41,629.41,629.41,100,1,629.41,alpaca,iex,raw,2026-05-13 13:17:40.813555+00:00
AVGO,5Min,2023-05-15 14:45:00+00:00,628.82,628.83,628.82,628.83,239,7,628.825,alpaca,iex,raw,2026-05-13 13:17:40.813561+00:00
AVGO,5Min,2023-05-15 14:50:00+00:00,628.88,629.045,628.88,629.045,200,2,628.9625,alpaca,iex,raw,2026-05-13 13:17:40.813567+00:00
AVGO,5Min,2023-05-15 14:55:00+00:00,629.15,629.15,629.04,629.04,307,11,629.095,alpaca,iex,raw,2026-05-13 13:17:40.813574+00:00
AVGO,5Min,2023-05-15 15:00:00+00:00,629.19,629.19,629.19,629.19,100,1,629.19,alpaca,iex,raw,2026-05-13 13:17:40.813580+00:00
AVGO,5Min,2023-05-15 15:10:00+00:00,630.895,631.52,630.895,631.52,284,21,631.2075,alpaca,iex,raw,2026-05-13 13:17:40.813587+00:00
AVGO,5Min,2023-05-15 15:20:00+00:00,632.62,632.62,632.62,632.62,156,4,632.62,alpaca,iex,raw,2026-05-13 13:17:40.813593+00:00
AVGO,5Min,2023-05-15 15:25:00+00:00,632.99,633.24,632.99,633.02,581,18,633.060476,alpaca,iex,raw,2026-05-13 13:17:40.813600+00:00
AVGO,5Min,2023-05-15 15:30:00+00:00,633.49,633.52,633.29,633.29,951,26,633.405,alpaca,iex,raw,2026-05-13 13:17:40.813606+00:00
AVGO,5Min,2023-05-15 15:45:00+00:00,633.61,634.23,633.61,634.23,312,4,633.916667,alpaca,iex,raw,2026-05-13 13:17:40.813612+00:00
AVGO,5Min,2023-05-15 15:50:00+00:00,634.68,634.68,634.28,634.41,1170,21,634.502857,alpaca,iex,raw,2026-05-13 13:17:40.813619+00:00
AVGO,5Min,2023-05-15 15:55:00+00:00,634.74,634.84,634.74,634.84,200,2,634.79,alpaca,iex,raw,2026-05-13 13:17:40.813625+00:00
AVGO,5Min,2023-05-15 16:00:00+00:00,634.88,634.88,634.88,634.88,129,8,634.88,alpaca,iex,raw,2026-05-13 13:17:40.813632+00:00
AVGO,5Min,2023-05-15 16:10:00+00:00,635.06,635.06,634.8,634.84,524,10,634.908,alpaca,iex,raw,2026-05-13 13:17:40.813639+00:00
AVGO,5Min,2023-05-15 16:15:00+00:00,635.07,636.24,635.07,636.14,1058,19,635.58,alpaca,iex,raw,2026-05-13 13:17:40.813645+00:00
AVGO,5Min,2023-05-15 16:20:00+00:00,635.63,635.63,635.63,635.63,401,11,635.63,alpaca,iex,raw,2026-05-13 13:17:40.813651+00:00
AVGO,5Min,2023-05-15 16:30:00+00:00,634.77,634.77,634.73,634.73,252,4,634.75,alpaca,iex,raw,2026-05-13 13:17:40.813658+00:00
AVGO,5Min,2023-05-15 16:35:00+00:00,635.08,635.08,635.08,635.08,217,6,635.08,alpaca,iex,raw,2026-05-13 13:17:40.813664+00:00
AVGO,5Min,2023-05-15 16:40:00+00:00,635.9,636.17,635.9,636.17,207,4,636.035,alpaca,iex,raw,2026-05-13 13:17:40.813671+00:00
AVGO,5Min,2023-05-15 16:45:00+00:00,636.34,636.34,636.34,636.34,302,4,636.34,alpaca,iex,raw,2026-05-13 13:17:40.813677+00:00
AVGO,5Min,2023-05-15 16:50:00+00:00,636.53,636.53,636.53,636.53,101,2,636.53,alpaca,iex,raw,2026-05-13 13:17:40.813683+00:00
AVGO,5Min,2023-05-15 16:55:00+00:00,637.3,637.48,637.3,637.48,205,4,637.39,alpaca,iex,raw,2026-05-13 13:17:40.813690+00:00
AVGO,5Min,2023-05-15 17:00:00+00:00,637.75,637.75,637.75,637.75,133,4,637.75,alpaca,iex,raw,2026-05-13 13:17:40.813696+00:00
AVGO,5Min,2023-05-15 17:05:00+00:00,638.42,638.42,638.37,638.37,222,6,638.395,alpaca,iex,raw,2026-05-13 13:17:40.813703+00:00
AVGO,5Min,2023-05-15 17:10:00+00:00,638.69,638.69,638.67,638.67,222,4,638.68,alpaca,iex,raw,2026-05-13 13:17:40.813709+00:00
AVGO,5Min,2023-05-15 17:20:00+00:00,638.63,638.63,638.14,638.27,1206,42,638.345556,alpaca,iex,raw,2026-05-13 13:17:40.813715+00:00
AVGO,5Min,2023-05-15 17:25:00+00:00,637.24,637.24,637.0,637.0,916,15,637.15,alpaca,iex,raw,2026-05-13 13:17:40.813722+00:00
AVGO,5Min,2023-05-15 17:35:00+00:00,636.82,636.82,636.62,636.72,514,13,636.72,alpaca,iex,raw,2026-05-13 13:17:40.813728+00:00
AVGO,5Min,2023-05-15 17:40:00+00:00,636.12,636.12,636.01,636.01,454,12,636.065,alpaca,iex,raw,2026-05-13 13:17:40.813735+00:00
AVGO,5Min,2023-05-15 17:45:00+00:00,636.42,636.42,636.42,636.42,149,2,636.42,alpaca,iex,raw,2026-05-13 13:17:40.813741+00:00
AVGO,5Min,2023-05-15 17:50:00+00:00,636.37,636.37,636.37,636.37,128,3,636.37,alpaca,iex,raw,2026-05-13 13:17:40.813748+00:00
AVGO,5Min,2023-05-15 18:00:00+00:00,638.03,638.06,638.03,638.06,223,5,638.044019,alpaca,iex,raw,2026-05-13 13:17:40.813754+00:00
AVGO,5Min,2023-05-15 18:10:00+00:00,638.71,638.72,638.68,638.68,521,13,638.701,alpaca,iex,raw,2026-05-13 13:17:40.813761+00:00
AVGO,5Min,2023-05-15 18:15:00+00:00,638.88,638.88,638.54,638.62,809,17,638.66,alpaca,iex,raw,2026-05-13 13:17:40.813767+00:00
AVGO,5Min,2023-05-15 18:20:00+00:00,638.23,638.23,638.23,638.23,245,6,638.23,alpaca,iex,raw,2026-05-13 13:17:40.813773+00:00
AVGO,5Min,2023-05-15 18:30:00+00:00,638.72,638.72,638.72,638.72,117,6,638.72,alpaca,iex,raw,2026-05-13 13:17:40.813780+00:00
AVGO,5Min,2023-05-15 18:35:00+00:00,638.94,639.0,638.75,638.94,777,26,638.924,alpaca,iex,raw,2026-05-13 13:17:40.813786+00:00
AVGO,5Min,2023-05-15 18:45:00+00:00,639.42,639.42,639.32,639.365,1882,52,639.352353,alpaca,iex,raw,2026-05-13 13:17:40.813792+00:00
AVGO,5Min,2023-05-15 18:50:00+00:00,639.29,639.29,638.8,638.97,610,22,639.08,alpaca,iex,raw,2026-05-13 13:17:40.813799+00:00
AVGO,5Min,2023-05-15 19:00:00+00:00,638.46,638.61,638.44,638.44,825,54,638.503333,alpaca,iex,raw,2026-05-13 13:17:40.813805+00:00
AVGO,5Min,2023-05-15 19:05:00+00:00,637.99,637.99,637.99,637.99,120,6,637.99,alpaca,iex,raw,2026-05-13 13:17:40.813811+00:00
AVGO,5Min,2023-05-15 19:10:00+00:00,637.64,637.64,637.64,637.64,303,13,637.64,alpaca,iex,raw,2026-05-13 13:17:40.813818+00:00
AVGO,5Min,2023-05-15 19:20:00+00:00,637.63,638.02,637.59,637.91,1543,32,637.854551,alpaca,iex,raw,2026-05-13 13:17:40.813824+00:00
AVGO,5Min,2023-05-15 19:25:00+00:00,638.12,638.3,638.12,638.3,657,16,638.222414,alpaca,iex,raw,2026-05-13 13:17:40.813830+00:00
AVGO,5Min,2023-05-15 19:30:00+00:00,638.22,639.4,638.22,639.13,1309,32,639.041919,alpaca,iex,raw,2026-05-13 13:17:40.813837+00:00
AVGO,5Min,2023-05-15 19:35:00+00:00,639.29,639.32,639.19,639.32,919,28,639.266667,alpaca,iex,raw,2026-05-13 13:17:40.813843+00:00
