symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
META,1Min,2023-05-15 13:30:00+00:00,236.89,237.39,236.55,237.31,14007,147,237.060982,alpaca,iex,raw,2026-05-13 13:13:45.650817+00:00
META,1Min,2023-05-15 13:31:00+00:00,237.4,237.79,237.4,237.62,1435,21,237.61625,alpaca,iex,raw,2026-05-13 13:13:45.650834+00:00
META,1Min,2023-05-15 13:32:00+00:00,237.35,237.35,236.6,236.74,2727,35,236.9995,alpaca,iex,raw,2026-05-13 13:13:45.650842+00:00
META,1Min,2023-05-15 13:33:00+00:00,236.82,237.355,236.82,237.355,2265,42,237.09673,alpaca,iex,raw,2026-05-13 13:13:45.650849+00:00
META,1Min,2023-05-15 13:34:00+00:00,237.25,237.25,236.78,236.78,694,18,237.015,alpaca,iex,raw,2026-05-13 13:13:45.650855+00:00
META,1Min,2023-05-15 13:35:00+00:00,236.84,236.84,236.57,236.67,1945,32,236.724687,alpaca,iex,raw,2026-05-13 13:13:45.650862+00:00
META,1Min,2023-05-15 13:36:00+00:00,236.785,236.785,236.785,236.785,145,7,236.785,alpaca,iex,raw,2026-05-13 13:13:45.650869+00:00
META,1Min,2023-05-15 13:37:00+00:00,236.73,236.845,236.73,236.845,450,8,236.76125,alpaca,iex,raw,2026-05-13 13:13:45.650876+00:00
META,1Min,2023-05-15 13:38:00+00:00,236.92,237.41,236.92,237.185,650,14,237.146793,alpaca,iex,raw,2026-05-13 13:13:45.650883+00:00
META,1Min,2023-05-15 13:39:00+00:00,236.57,236.655,236.48,236.53,1468,16,236.53,alpaca,iex,raw,2026-05-13 13:13:45.650890+00:00
META,1Min,2023-05-15 13:40:00+00:00,236.565,237.335,236.565,237.335,736,12,236.817529,alpaca,iex,raw,2026-05-13 13:13:45.650896+00:00
META,1Min,2023-05-15 13:41:00+00:00,237.18,237.4,236.96,237.36,2434,20,237.295424,alpaca,iex,raw,2026-05-13 13:13:45.650903+00:00
META,1Min,2023-05-15 13:42:00+00:00,237.03,237.03,237.03,237.03,117,3,237.03,alpaca,iex,raw,2026-05-13 13:13:45.650909+00:00
META,1Min,2023-05-15 13:43:00+00:00,237.15,237.15,236.92,237.03,380,9,237.033333,alpaca,iex,raw,2026-05-13 13:13:45.650916+00:00
META,1Min,2023-05-15 13:44:00+00:00,236.76,236.76,236.76,236.76,217,5,236.76,alpaca,iex,raw,2026-05-13 13:13:45.650922+00:00
META,1Min,2023-05-15 13:45:00+00:00,237.23,237.33,237.23,237.24,392,7,237.266667,alpaca,iex,raw,2026-05-13 13:13:45.650929+00:00
META,1Min,2023-05-15 13:46:00+00:00,237.22,237.22,237.025,237.025,395,8,237.141667,alpaca,iex,raw,2026-05-13 13:13:45.650935+00:00
META,1Min,2023-05-15 13:47:00+00:00,236.86,237.025,236.76,236.78,688,13,236.839,alpaca,iex,raw,2026-05-13 13:13:45.650941+00:00
META,1Min,2023-05-15 13:48:00+00:00,236.9,236.94,236.8,236.94,550,8,236.86,alpaca,iex,raw,2026-05-13 13:13:45.650948+00:00
META,1Min,2023-05-15 13:49:00+00:00,236.77,236.93,236.72,236.93,551,13,236.806667,alpaca,iex,raw,2026-05-13 13:13:45.650979+00:00
META,1Min,2023-05-15 13:50:00+00:00,236.945,236.945,236.945,236.945,415,13,236.945,alpaca,iex,raw,2026-05-13 13:13:45.650986+00:00
META,1Min,2023-05-15 13:51:00+00:00,236.945,236.945,236.86,236.86,594,17,236.915,alpaca,iex,raw,2026-05-13 13:13:45.650992+00:00
META,1Min,2023-05-15 13:52:00+00:00,236.34,236.34,236.05,236.05,1025,19,236.2075,alpaca,iex,raw,2026-05-13 13:13:45.650999+00:00
META,1Min,2023-05-15 13:53:00+00:00,236.15,236.24,236.15,236.24,418,8,236.195,alpaca,iex,raw,2026-05-13 13:13:45.651005+00:00
META,1Min,2023-05-15 13:54:00+00:00,236.115,236.115,236.04,236.04,521,14,236.068333,alpaca,iex,raw,2026-05-13 13:13:45.651012+00:00
META,1Min,2023-05-15 13:55:00+00:00,235.98,235.98,235.74,235.74,818,17,235.864286,alpaca,iex,raw,2026-05-13 13:13:45.651031+00:00
META,1Min,2023-05-15 13:56:00+00:00,235.69,235.69,235.465,235.465,851,24,235.643,alpaca,iex,raw,2026-05-13 13:13:45.651037+00:00
META,1Min,2023-05-15 13:57:00+00:00,235.44,235.61,235.39,235.61,673,19,235.51,alpaca,iex,raw,2026-05-13 13:13:45.651044+00:00
