symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
AMZN,5Min,2023-05-15 13:30:00+00:00,111.12,112.25,110.75,112.22,75120,637,111.525784,alpaca,iex,raw,2026-05-13 13:11:53.961168+00:00
AMZN,5Min,2023-05-15 13:35:00+00:00,112.2,112.2,111.07,111.215,74427,383,111.64805,alpaca,iex,raw,2026-05-13 13:11:53.961222+00:00
AMZN,5Min,2023-05-15 13:40:00+00:00,111.215,111.46,111.065,111.235,62448,305,111.292707,alpaca,iex,raw,2026-05-13 13:11:53.961253+00:00
AMZN,5Min,2023-05-15 13:45:00+00:00,111.225,111.33,110.615,110.63,40178,186,111.079357,alpaca,iex,raw,2026-05-13 13:11:53.961279+00:00
AMZN,5Min,2023-05-15 13:50:00+00:00,110.62,110.685,110.285,110.42,42295,279,110.50415,alpaca,iex,raw,2026-05-13 13:11:53.961305+00:00
AMZN,5Min,2023-05-15 13:55:00+00:00,110.43,110.56,109.96,109.99,53569,332,110.188171,alpaca,iex,raw,2026-05-13 13:11:53.961331+00:00
AMZN,5Min,2023-05-15 14:00:00+00:00,110.035,110.23,109.77,109.77,38018,173,110.073197,alpaca,iex,raw,2026-05-13 13:11:53.961359+00:00
AMZN,5Min,2023-05-15 14:05:00+00:00,109.76,109.765,109.33,109.465,64468,248,109.547932,alpaca,iex,raw,2026-05-13 13:11:53.961385+00:00
AMZN,5Min,2023-05-15 14:10:00+00:00,109.405,109.695,109.38,109.605,57736,140,109.493239,alpaca,iex,raw,2026-05-13 13:11:53.961409+00:00
AMZN,5Min,2023-05-15 14:15:00+00:00,109.585,109.655,109.25,109.615,60941,120,109.449839,alpaca,iex,raw,2026-05-13 13:11:53.961435+00:00
AMZN,5Min,2023-05-15 14:20:00+00:00,109.545,109.945,109.505,109.945,26912,121,109.667383,alpaca,iex,raw,2026-05-13 13:11:53.961461+00:00
AMZN,5Min,2023-05-15 14:25:00+00:00,109.95,110.02,109.785,109.795,6347,86,109.936046,alpaca,iex,raw,2026-05-13 13:11:53.961486+00:00
