symbol,timeframe,timestamp,open,high,low,close,volume,trade_count,vwap,source,feed,adjustment,downloaded_at
QQQ,1Min,2023-05-15 12:32:00+00:00,325.61,325.61,325.61,325.61,200,1,325.61,alpaca,iex,raw,2026-05-13 12:42:07.431224+00:00
QQQ,1Min,2023-05-15 12:35:00+00:00,325.68,325.68,325.68,325.68,800,1,325.68,alpaca,iex,raw,2026-05-13 12:42:07.431279+00:00
QQQ,1Min,2023-05-15 12:45:00+00:00,325.65,325.67,325.65,325.67,344,4,325.656667,alpaca,iex,raw,2026-05-13 12:42:07.431311+00:00
QQQ,1Min,2023-05-15 12:49:00+00:00,325.77,325.77,325.77,325.77,770,1,325.77,alpaca,iex,raw,2026-05-13 12:42:07.431338+00:00
QQQ,1Min,2023-05-15 12:51:00+00:00,325.75,325.75,325.75,325.75,800,1,325.75,alpaca,iex,raw,2026-05-13 12:42:07.431363+00:00
QQQ,1Min,2023-05-15 13:00:00+00:00,325.66,325.7,325.66,325.7,200,2,325.68,alpaca,iex,raw,2026-05-13 12:42:07.431390+00:00
QQQ,1Min,2023-05-15 13:01:00+00:00,325.69,325.69,325.66,325.66,700,7,325.664286,alpaca,iex,raw,2026-05-13 12:42:07.431416+00:00
QQQ,1Min,2023-05-15 13:05:00+00:00,325.61,325.61,325.61,325.61,100,1,325.61,alpaca,iex,raw,2026-05-13 12:42:07.431441+00:00
QQQ,1Min,2023-05-15 13:06:00+00:00,325.72,325.73,325.72,325.73,366,4,325.723333,alpaca,iex,raw,2026-05-13 12:42:07.431465+00:00
QQQ,1Min,2023-05-15 13:09:00+00:00,325.75,325.75,325.75,325.75,866,2,325.75,alpaca,iex,raw,2026-05-13 12:42:07.431490+00:00
QQQ,1Min,2023-05-15 13:11:00+00:00,325.64,325.65,325.64,325.65,518,4,325.643861,alpaca,iex,raw,2026-05-13 12:42:07.431516+00:00
QQQ,1Min,2023-05-15 13:18:00+00:00,325.8,325.8,325.8,325.8,100,1,325.8,alpaca,iex,raw,2026-05-13 12:42:07.431540+00:00
QQQ,1Min,2023-05-15 13:29:00+00:00,325.45,325.45,325.45,325.45,681,3,325.45,alpaca,iex,raw,2026-05-13 12:42:07.431565+00:00
QQQ,1Min,2023-05-15 13:30:00+00:00,325.53,325.545,325.21,325.22,7665,63,325.311585,alpaca,iex,raw,2026-05-13 12:42:07.431589+00:00
QQQ,1Min,2023-05-15 13:31:00+00:00,325.2,325.25,325.11,325.11,2822,36,325.1804,alpaca,iex,raw,2026-05-13 12:42:07.431613+00:00
QQQ,1Min,2023-05-15 13:32:00+00:00,325.54,325.54,325.48,325.49,1041,15,325.5125,alpaca,iex,raw,2026-05-13 12:42:07.431638+00:00
QQQ,1Min,2023-05-15 13:33:00+00:00,325.41,325.48,325.25,325.47,2508,33,325.361818,alpaca,iex,raw,2026-05-13 12:42:07.431662+00:00
QQQ,1Min,2023-05-15 13:34:00+00:00,325.48,325.48,325.26,325.26,1394,25,325.389958,alpaca,iex,raw,2026-05-13 12:42:07.431688+00:00
QQQ,1Min,2023-05-15 13:35:00+00:00,325.3,325.47,325.21,325.47,2225,26,325.314167,alpaca,iex,raw,2026-05-13 12:42:07.431713+00:00
QQQ,1Min,2023-05-15 13:36:00+00:00,325.48,325.49,325.39,325.48,1475,24,325.45125,alpaca,iex,raw,2026-05-13 12:42:07.431738+00:00
QQQ,1Min,2023-05-15 13:37:00+00:00,325.43,325.43,325.27,325.32,2701,35,325.333202,alpaca,iex,raw,2026-05-13 12:42:07.431762+00:00
QQQ,1Min,2023-05-15 13:38:00+00:00,325.24,325.36,325.19,325.19,1955,39,325.299231,alpaca,iex,raw,2026-05-13 12:42:07.431786+00:00
